height_m,wet_radius_micron,concentration_m3
0.0,2932875.690355279,1.1448121999368225e-05
0.0,3022066.076383333,1.1796862021758714e-05
0.0,3113968.7918108194,1.2156207483509496e-05
0.0,3208666.320088015,1.2526480900162479e-05
0.0,3306243.6530329376,1.2908014595189414e-05
0.0,3406788.3671122077,1.3301150998255166e-05
0.0,3510390.7020416544,1.3706242952551134e-05
0.0,3617143.641777213,1.4123654031474783e-05
0.0,3727142.997968799,1.4553758864940114e-05
0.0,3840487.495952048,1.4996943475610971e-05
0.0,3957278.863355138,1.5453605625359544e-05
0.0,4077621.9214001764,1.5924155172261178e-05
0.0,4201624.67898111,1.6409014438445016e-05
0.0,4329398.429602611,1.6908618589132166e-05
0.0,4461057.851266925,1.7423416023199792e-05
0.0,4596721.109398328,1.795386877562264e-05
0.0,4736509.962897564,1.850045293215387e-05
0.0,4880549.873421483,1.906365905661542e-05
0.0,5028970.117985923,1.964399263118328e-05
0.0,5181903.904992893,2.0241974510062122e-05
0.0,5339488.493786224,2.0858141386956212e-05
0.0,5501865.317842974,2.1493046276756274e-05
0.0,5669180.111711151,2.214725901187517e-05
0.0,5841583.041807666,2.2821366753677104e-05
0.0,6019228.841193947,2.3515974519459945e-05
0.0,6202276.9484501565,2.4231705725463537e-05
0.0,6390891.650772627,2.496920274638981e-05
0.0,6585242.231422987,2.5729127491941155e-05
0.0,6785503.1216613,2.6512162000888584e-05
0.0,6991854.057299567,2.7319009053207423e-05
0.0,7204480.240016103,2.8150392800828525e-05
0.0,7423572.503575585,2.9007059417570594e-05
0.0,7649327.485103951,2.9889777768837014e-05
0.0,7881947.80157184,3.079934010167948e-05
1.0,20304.105579112525,6.423037179399384e-08
1.0,20921.564757662312,6.655889691969076e-08
1.0,21557.801214319225,6.89634361180671e-08
1.0,22213.385976586545,7.144623625796133e-08
1.0,22888.907437232534,7.400961055695523e-08
1.0,23584.971882377795,7.665594074961573e-08
1.0,24302.20403564211,7.938767931890555e-08
1.0,25041.247618839076,8.220735179214069e-08
1.0,25802.765929721798,8.51175591029676e-08
1.0,26587.44243729809,8.812098002090471e-08
1.0,27395.98139524963,9.122037365010436e-08
1.0,28229.10847400547,9.44185819990563e-08
1.0,29087.571412037243,9.771853262306857e-08
1.0,29972.140686960694,1.0112324134143075e-07
1.0,30883.610207045724,1.0463581503127226e-07
1.0,31822.798023755637,1.0825945450019593e-07
1.0,32790.54706595514,1.1199745743987348e-07
1.0,33787.72589644602,1.1585322146286162e-07
1.0,34815.22949150942,1.1983024722498556e-07
1.0,35873.980044154516,1.2393214163572833e-07
1.0,36964.92779179439,1.281626211591472e-07
1.0,38089.05186909202,1.3252551520792885e-07
1.0,39247.36118674174,1.3702476963330783e-07
1.0,40440.89533697499,1.416644503136512e-07
1.0,41670.72552660297,1.4644874684462787e-07
1.0,42937.95553843364,1.5138197633398426e-07
1.0,44243.72272192597,1.5646858730402575e-07
1.0,45589.19901397049,1.6171316370501678e-07
1.0,46975.591990712455,1.6712042904273556e-07
1.0,48404.14595136139,1.726952506235223e-07
1.0,49876.14303495996,1.7844264392014347e-07
1.0,51392.90437111453,1.8436777706186317e-07
1.0,52955.79126571979,1.904759754520908e-07
1.0,54566.20642274216,1.9677272651705255e-07
1.0,56225.5952031583,2.0326368458898376e-07
1.0,57935.446922178584,2.0995467592737695e-07
1.0,59697.2961859198,2.1685170388208613e-07
1.0,61512.724268726895,2.2396095420211108e-07
1.0,63383.36053237992,2.312888004941495e-07
1.0,65310.883888459684,2.3884180983521174e-07
1.0,67297.02430518476,2.466267485436306e-07
1.0,69343.56436007253,2.546505881129413e-07
1.0,71452.34083981719,2.629205113130457e-07
1.0,73625.246388821,2.7144391846284434e-07
1.0,75864.23120785845,2.802284338784278e-07
1.0,78171.30480439769,2.8928191250044534e-07
1.0,80548.53779615002,2.9861244670406054e-07
1.0,82998.06376946656,3.0822837329465447e-07
1.0,85522.08119424972,3.181382806923318e-07
1.0,88122.8553970983,3.2835101630845465e-07
1.0,90802.72059445671,3.38875694117681e-07
1.0,93564.08198759372,3.4972170242967326e-07
1.0,96409.4179212906,3.6089871186524224e-07
