height_m,wet_radius_micron,concentration_m3
2.0,5408.927697418063,9.0272522493117e-09
2.0,5564.365706422964,9.373169972984687e-09
2.0,5724.270585017361,9.732356097513664e-09
2.0,5888.770698998387,1.010527886169002e-08
2.0,6057.998103050325,1.0492419919747488e-08
2.0,6232.0886467533,1.0894274584511749e-08
2.0,6411.182083638353,1.1311352073066636e-08
2.0,6595.422183376479,1.1744175755446228e-08
2.0,6784.956847191664,1.2193283406922828e-08
2.0,6979.938226590587,1.2659227464522147e-08
2.0,7180.522845504302,1.3142575288457021e-08
2.0,7386.871725939914,1.3643909429231103e-08
2.0,7599.150517243181,1.416382790122157e-08
2.0,7817.529629075764,1.470294446360593e-08
2.0,8042.18436821387,1.5261888909550324e-08
2.0,8273.295079278132,1.5841307364626397e-08
2.0,8511.047289507687,1.6441862595468303e-08
2.0,8755.631857694669,1.706423432972252e-08
2.0,9007.245127398679,1.770911958837726e-08
2.0,9266.089084564212,1.8377233031588722e-08
2.0,9532.371519667606,1.9069307319144325e-08
2.0,9806.306194523659,1.978609348672051e-08
2.0,10088.113013885795,2.0528361339103545e-08
2.0,10378.018201977571,2.129689986154575e-08
2.0,10676.254484097224,2.2092517650428156e-08
2.0,10983.061273441039,2.2916043364390843e-08
2.0,11298.684863295532,2.3768326197078818e-08
2.0,11623.378624752686,2.465023637263015e-08
2.0,11957.403210107024,2.5562665665006987e-08
2.0,12301.02676209775,2.6506527942240567e-08
2.0,12654.525129163952,2.7482759736624702e-08
2.0,13018.18208688565,2.849232084185563e-08
2.0,13392.289565788473,2.9536194938072667e-08
2.0,13777.147885694822,3.061539024571179e-08
2.0,14173.06599680965,3.173094020903863e-08
2.0,14580.361727734418,3.288390421018174e-08
2.0,14999.36204060828,3.4075368314440604e-08
2.0,15430.403293581347,3.5306446047600024e-08
2.0,15873.831510830732,3.657827920593632e-08
2.0,16330.002660336122,3.789203869956318e-08
2.0,16799.282939637873,3.924892542972373e-08
2.0,17282.04906980702,4.065017120060307e-08
2.0,17778.688597863213,4.2097039666203826e-08
2.0,18289.60020788326,4.359082731280171e-08
2.0,18815.194041050232,4.5132864477474445e-08
2.0,19355.89202489974,4.672451640318457e-08
2.0,19912.12821202799,4.8367184330880694e-08
2.0,20484.34912853337,5.0062306629079796e-08
2.0,21073.01413247127,5.181135996139057e-08
2.0,21678.595782609984,5.3615860492441136e-08
2.0,22301.580217783587,5.547736513268734e-08
2.0,22942.46754714649,5.739747282259166e-08
2.0,23601.772251642768,5.937782585668085e-08
2.0,24280.02359701269,6.14201112480187e-08
2.0,24977.76605866791,6.352606213365695e-08
2.0,25695.559758776486,6.569745922165987e-08
2.0,26433.980915908454,6.793613228034139e-08
2.0,27193.62230760308,7.024396167038426e-08
2.0,27975.09374622902,7.262287992056439e-08
2.0,28779.022568519413,7.507487334784478e-08
2.0,29606.054139174914,7.760198372265463e-08
2.0,30456.852368938886,8.020630998021992e-08
2.0,31332.100247560702,8.289000997886902e-08
2.0,32232.500392075017,8.565530230628557e-08
2.0,33158.77561083701,8.850446813474255e-08
2.0,34111.66948376658,9.143985312640946e-08
2.0,35091.946959267094,9.44638693898797e-08
2.0,36100.39496829811,9.75789974891259e-08
2.0,37137.82305609474,1.0078778850614918e-07
2.0,38205.064032041075,1.0409286615865304e-07
2.0,39302.97463821905,1.0749692897411857e-07
2.0,40432.43623716979,1.1100275252173552e-07
2.0,41594.355519419245,1.1461319170368014e-07
2.0,42789.66523133621,1.183311831073144e-07
2.0,44019.32492390705,1.2215974741991707e-07
2.0,45284.32172302823,1.2610199190763426e-07
2.0,46585.671121934916,1.301611129603819e-07
2.0,47924.41779640185,1.343403987045156e-07
2.0,49301.63644337092,1.3864323168510738e-07
2.0,50718.43264367862,1.4307309161976603e-07
2.0,52175.943749575934,1.476335582259621e-07
2.0,53675.339797753266,1.523283141238856e-07
2.0,55217.824448603154,1.5716114781691414e-07
2.0,56804.63595247478,1.6213595675180494e-07
2.0,58437.04814369626,1.6725675046077416e-07
2.0,60116.37146316221,1.7252765378767492e-07
2.0,61843.95401030797,1.779529102005262e-07
2.0,63621.18262531452,1.8353688519270777e-07
2.0,65449.484002413075,1.892840697751754e-07
2.0,67330.32583518319,1.9519908406214756e-07
2.0,69265.21799476368,2.0128668095273906e-07
2.0,71255.71374192179,2.075517499111115e-07
2.0,73303.41097395438,2.1399932084771926e-07
2.0,75409.95350742144,2.2063456810429634e-07
2.0,77577.0323977421,2.274628145452313e-07
2.0,79806.38729671211,2.3448953575797128e-07
2.0,82099.80784903273,2.4172036436511463e-07
2.0,84459.13512897215,2.4916109445085366e-07
2.0,86886.26311831274,2.568176861044615e-07
2.0,89383.1402267705,2.646962700835279e-07
2.0,91951.77085610703,2.728031525997733e-07
2.0,94594.21700919032,2.811448202302614e-07
2.0,97312.5999452951,2.8972794495696585e-07
2.0,100109.10188297252,2.985593893375988e-07
2.0,102985.96775185551,3.0764621181067284e-07
2.0,105945.5069948061,3.1699567213765277e-07
2.0,108990.09542185199,3.2661523698500463e-07
2.0,112122.17711740013,3.3651258564884835e-07
2.0,115344.26640225828,3.466956159247929e-07
2.0,118658.94985204001,3.571724501255544e-07
2.0,122068.8883735731,3.679514412488818e-07
2.0,125576.81934097844,3.79041179298391e-07
2.0,129185.55879313398,3.904504977599398e-07
2.0,132898.00369428794,4.021884802362145e-07
2.0,136717.1342596358,4.1426446724216837e-07
2.0,140646.01634772823,4.2668806316385914e-07
2.0,144687.8039216307,4.3946914338304505e-07
2.0,148845.74158080938,4.526178615696435e-07
2.0,153123.16716577747,4.6614465714382717e-07
2.0,157523.51443759148,4.800602629092659e-07
2.0,162050.31583434917,4.943757128586996e-07
2.0,166707.2053069021,5.091023501528217e-07
2.0,171497.92123605844,5.242518352732476e-07
2.0,176426.3094336187,5.398361543502451e-07
2.0,181496.32622965277,5.558676276657772e-07
2.0,186712.04164849766,5.723589183325074e-07
2.0,192077.64267602406,5.893230411491993e-07
2.0,197597.43662079566,6.067733716335823e-07
2.0,203275.8545718193,6.247236552338002e-07
2.0,209117.45495566164,6.431880167208984e-07
2.0,215126.92719578705,6.621809697663294e-07
2.0,221309.09547705596,6.81717426711148e-07
2.0,227668.92261840406,7.018127085374754e-07
2.0,234211.51405681195,7.224825550585048e-07
2.0,240942.12194576403,7.437431353504319e-07
2.0,247866.1493714851,7.656110584592553e-07
2.0,254989.15469034077,7.881033844265122e-07
2.0,262316.85599088285,8.112376356912772e-07
2.0,269855.13568412233,8.350318089401044e-07
2.0,277610.04522571387,8.595043874912307e-07
2.0,285587.8099738437,8.846743543146075e-07
2.0,293794.83418671926,9.105612058016989e-07
2.0,302237.70616367453,9.371849664091842e-07
2.0,310923.20353401557,9.645662043069023e-07
2.0,319858.29869785404,9.92726048160156e-07
2.0,329050.1644232955,1.0216862051714527e-06
2.0,338506.17960447574,1.051468980493749e-06
2.0,348233.93518506706,1.082097298107873e-06
2.0,358241.24025201146,1.1135947232317313e-06
2.0,368536.1283043695,1.145985486298304e-06
2.0,379126.8637023207,1.1792945085044785e-06
2.0,390021.9483014903,1.213547428897846e-06
2.0,401230.1282779271,1.2487706329314842e-06
2.0,412760.40114921564,1.28499128238423e-06
2.0,424622.02299735433,1.3222373465134866e-06
2.0,436824.51589920005,1.3605376342835232e-06
2.0,449377.6755704435,1.3999218274960172e-06
2.0,462291.5792292521,1.4404205146393012e-06
2.0,475576.59368589305,1.4820652252709835e-06
2.0,489243.38366483,1.5248884647557104e-06
2.0,503302.92036597367,1.5689237491923961e-06
2.0,517766.49027196097,1.6142056403839546e-06
2.0,532645.7042085319,1.6607697807293084e-06
2.0,547952.5066652752,1.7086529279429557e-06
2.0,563699.1853842291,1.757892989539737e-06
2.0,579898.3812240314,1.808529057053094e-06
2.0,596563.0983075403,1.8606014399865383e-06
2.0,613706.7144610675,1.914151699527226e-06
2.0,631342.9919536107,1.9692226820788537e-06
2.0,649486.0885446984,2.0258585526945144e-06
2.0,668150.5688497239,2.084104828511384e-06
2.0,687351.4160318865,2.1440084123059307e-06
